question,option_a,option_b,option_c,option_d,correct_answer,explanation
"Which layer of the cell wall is formed first between two dividing plant cells?","Primary cell wall","Secondary cell wall","Tertiary cell wall","Middle lamella","D","Middle lamella is the first cell wall layer formed"
"Which organism lacks a cell wall?","Cyanobacteria","Yeast","Amoeba","Escherichia coli","C","Amoeba has only a cell membrane"
"Which organisms have murein in their cell walls?","Bacteria","Fungi","Algae","Plants","A","Murein = bacterial cell wall"
"In eukaryotes the cell wall is secreted by:","Protoplasm","Matrix of mitochondria","Nucleoplasm","Endoplasmic reticulum","D","ER forms cell wall materials"
"Which statement about bacterial cytoplasm is correct?","Sol-like","Peripheral part is gel-like","Whole cytoplasm is gel-like","Contains no organelles","C","Entire cytoplasm is gel-like"
"Which is not stored as an inclusion body in bacteria?","Glycogen","Salts","Waste materials","Water","D","Water is not an inclusion"
"Largest organelle of an animal cell?","Mitochondrion","Central vacuole","Chloroplast","Nucleus","D","Nucleus is largest"
"In bacteria transcription occurs in:","Nucleolus","Mitochondria","Nucleus","Cytoplasm","D","Bacteria lack a nucleus"
"Glycolysis in eukaryotes occurs in:","Cytoplasm","Chloroplast","Mitochondrion","Endoplasmic reticulum","A","Glycolysis is cytoplasmic"
"Common feature of mitochondria and chloroplasts?","Same biochemical processes","Found in all eukaryotes","Single membrane","Circular DNA and ribosomes","D","Both are semi-autonomous"
"Which cell is binucleated?","Paramecium","Amoeba","Plant cell","Trypanosoma","A","Paramecium has macro + micronucleus"
"Nucleolar organizer is:","Centromere","Telomere","Primary constriction","Secondary constriction","D","Forms nucleolus"
"Pick the odd one (membranes)","Vacuole","Nucleus","Peroxisome","Lysosome","B","Nucleus has double membrane"
"Incorrect statement about nucleus:","Nuclear pores regulate transport","Nucleoplasm is soluble sap","Ribosomes assemble in peripheral nucleolus","Chromosomes are present","C","Ribosomes assemble in nucleolus not peripheral nucleolus"
"Ribosomal part attaching first to mRNA:","30S","50S","70S","80S","A","Small subunit binds first"
"Chloroplast ribosome size:","50S","60S","70S","80S","C","Chloroplast ribosomes are prokaryotic type"
"Ribosomes were discovered by:","G.E. Palade","A. Weismann","C. Golgi","C.R. de Duve","A","Palade discovered ribosomes"
"Which ribosomal subunit acts as an enzyme?","Smaller subunit","Larger subunit","Both","None","B","Larger subunit has peptidyl transferase activity"
"Outer nuclear membrane is continuous with:","Endoplasmic reticulum","Lysosomes","Golgi apparatus","Peroxisomes","A","Directly connected to ER"
"Organelle without DNA:","Mitochondria","Endoplasmic reticulum","Chloroplast","Nucleus","B","ER has no genome"
"Organelle providing mechanical support:","Large vacuole","Cell wall","Endoplasmic reticulum","Golgi complex","B","Cell wall gives mechanical support"
"Lipid synthesis occurs in:","RER","SER","Lysosomes","Peroxisomes","B","SER makes lipids"
"Detoxification is done by:","Smooth ER","Mitochondria","Rough ER","Golgi apparatus","A","SER detoxifies"
"Sarcoplasmic reticulum is modified:","Golgi complex","Mitochondria","Cell membrane","Endoplasmic reticulum","D","Sarcoplasmic reticulum is modified SER"
"Protons accumulate in:","Matrix","Cytoplasm","Outer membrane","Intermembrane space","D","Creates proton gradient"
"Mitochondria are not involved in:","Fatty acid metabolism","Fermentation","Krebs cycle","Oxidative phosphorylation","B","Fermentation is cytoplasmic"
"Mitochondria divide by:","Binary fission","Fragmentation","Mitosis","Budding","A","Binary fission like bacteria"
"Golgi apparatus is not involved in:","Autophagy","Cell secretion","Glycosylation","Modification","A","Autophagy is lysosome function"
"Golgi bodies originate from:","Endoplasmic reticulum","Plasma membrane","Phragmoplast","Vacuoles","A","ER forms Golgi vesicles"
"Lysosomes are produced by:","Endoplasmic reticulum","Golgi apparatus","Cytoplasm","Nucleus","B","Golgi packages lysosomes"
"Vesicles enter Golgi from:","Trans face","Cis face","Maturing face","Secretory side","B","Cis = receiving side"
"Which organelle is not involved in photorespiration?","Lysosomes","Chloroplasts","Mitochondria","Peroxisomes","A","Lysosomes have no role in photorespiration"
"Which is not involved in fatty acid metabolism?","Chloroplast","Peroxisomes","SER","Mitochondria","C","SER mainly synthesizes lipids"
